"Date","Price","Open","High","Low","Vol.","Change %"
"15/04/2024","2.0503","2.2282","2.3826","2.0004","59.50M","-7.98%"
"14/04/2024","2.2282","1.9446","2.2491","1.8595","65.77M","14.59%"
"13/04/2024","1.9445","2.1394","2.2499","1.6104","79.68M","-9.11%"
"12/04/2024","2.1394","2.5486","2.5865","1.9091","62.02M","-16.06%"
"11/04/2024","2.5486","2.6645","2.7355","2.5128","26.34M","-4.35%"
"10/04/2024","2.6645","2.5858","2.6963","2.4311","28.05M","3.04%"
"09/04/2024","2.5858","2.8076","2.8437","2.5558","21.27M","-7.90%"
"08/04/2024","2.8076","2.7067","2.8468","2.6302","24.11M","3.72%"
"07/04/2024","2.7068","2.6297","2.7962","2.6215","19.56M","2.93%"
"06/04/2024","2.6297","2.6103","2.6838","2.5851","15.72M","0.74%"
"05/04/2024","2.6103","2.6983","2.7251","2.5131","30.45M","-3.26%"
"04/04/2024","2.6983","2.5815","2.8775","2.5307","40.80M","4.52%"
"03/04/2024","2.5815","2.6713","2.7642","2.5107","34.49M","-3.36%"
"02/04/2024","2.6713","2.8806","2.8806","2.5990","43.19M","-7.27%"
"01/04/2024","2.8806","3.0526","3.0794","2.8288","37.39M","-5.63%"
"31/03/2024","3.0525","3.2076","3.2691","3.0060","33.09M","-4.83%"
"30/03/2024","3.2076","3.1015","3.2238","2.9500","45.94M","3.42%"
"29/03/2024","3.1015","3.2611","3.3692","3.0796","41.47M","-4.89%"
"28/03/2024","3.2611","3.1059","3.4735","3.0095","83.74M","5.00%"
"27/03/2024","3.1059","2.8292","3.3325","2.8131","123.02M","9.78%"
"26/03/2024","2.8292","2.6657","3.0442","2.6617","77.29M","6.13%"
"25/03/2024","2.6657","2.5831","2.7287","2.4868","43.25M","3.20%"
"24/03/2024","2.5831","2.4179","2.6478","2.3871","27.04M","6.83%"
"23/03/2024","2.4180","2.4288","2.5498","2.3858","24.13M","-0.45%"
"22/03/2024","2.4288","2.5152","2.5841","2.3639","38.97M","-3.54%"
"21/03/2024","2.5180","2.7484","2.7685","2.4999","51.60M","-8.38%"
"20/03/2024","2.7484","2.3829","2.8431","2.3552","94.08M","15.34%"
"19/03/2024","2.3829","2.4873","2.5984","2.1663","104.49M","-4.20%"
"18/03/2024","2.4873","2.8096","2.8806","2.4573","91.27M","-11.47%"
"17/03/2024","2.8095","2.4286","3.0168","2.3546","97.05M","15.69%"
